category,rank,dimension,mean_delta,std_delta
1a. Human Plagiarism (Base),1,214,1.739141,1.275763
1a. Human Plagiarism (Base),2,469,1.622592,1.117235
1a. Human Plagiarism (Base),3,288,1.476621,1.091055
1a. Human Plagiarism (Base),4,470,1.428817,1.039150
1a. Human Plagiarism (Base),5,10,1.412677,1.003703
1a. Human Plagiarism (Base),6,104,1.389222,1.062126
1a. Human Plagiarism (Base),7,368,1.381965,0.958884
1a. Human Plagiarism (Base),8,242,1.361010,0.956985
1a. Human Plagiarism (Base),9,359,1.351311,0.960772
1a. Human Plagiarism (Base),10,482,1.339280,0.914881
1a. Human Plagiarism (Base),11,415,1.312072,0.953073
1a. Human Plagiarism (Base),12,85,1.305629,1.014686
1a. Human Plagiarism (Base),13,319,1.305524,0.889436
1a. Human Plagiarism (Base),14,342,1.297302,0.909033
1a. Human Plagiarism (Base),15,174,1.272508,0.945975
1a. Human Plagiarism (Base),16,503,1.260542,0.890142
1a. Human Plagiarism (Base),17,34,1.259751,0.871858
1a. Human Plagiarism (Base),18,41,1.253986,0.909883
1a. Human Plagiarism (Base),19,409,1.250603,0.892360
1a. Human Plagiarism (Base),20,293,1.239962,0.842888
1a. Human Plagiarism (Base),21,132,1.213604,0.876868
1a. Human Plagiarism (Base),22,147,1.208056,0.835208
1a. Human Plagiarism (Base),23,8,1.207593,0.864445
1a. Human Plagiarism (Base),24,371,1.201840,0.840005
1a. Human Plagiarism (Base),25,239,1.198874,0.872416
1a. Human Plagiarism (Base),26,431,1.194011,0.829843
1a. Human Plagiarism (Base),27,139,1.190160,0.878620
1a. Human Plagiarism (Base),28,255,1.174940,0.843441
1a. Human Plagiarism (Base),29,28,1.174767,0.848596
1a. Human Plagiarism (Base),30,408,1.168819,0.827899
1b. Human Plagiarism + DSP,1,214,1.556731,1.186684
1b. Human Plagiarism + DSP,2,469,1.528504,1.105721
1b. Human Plagiarism + DSP,3,470,1.401060,1.047809
1b. Human Plagiarism + DSP,4,104,1.359764,1.063210
1b. Human Plagiarism + DSP,5,242,1.343532,0.956986
1b. Human Plagiarism + DSP,6,85,1.335935,1.055770
1b. Human Plagiarism + DSP,7,10,1.332245,0.978268
1b. Human Plagiarism + DSP,8,288,1.324694,1.002283
1b. Human Plagiarism + DSP,9,342,1.292581,0.923918
1b. Human Plagiarism + DSP,10,368,1.287377,0.942962
1b. Human Plagiarism + DSP,11,482,1.264781,0.870739
1b. Human Plagiarism + DSP,12,174,1.263186,0.935873
1b. Human Plagiarism + DSP,13,359,1.244102,0.898019
1b. Human Plagiarism + DSP,14,503,1.241655,0.880673
1b. Human Plagiarism + DSP,15,34,1.229337,0.865126
1b. Human Plagiarism + DSP,16,139,1.225994,0.877330
1b. Human Plagiarism + DSP,17,293,1.216695,0.853683
1b. Human Plagiarism + DSP,18,415,1.213315,0.888549
1b. Human Plagiarism + DSP,19,431,1.201198,0.851704
1b. Human Plagiarism + DSP,20,41,1.191943,0.884068
1b. Human Plagiarism + DSP,21,371,1.191639,0.845424
1b. Human Plagiarism + DSP,22,408,1.190898,0.869331
1b. Human Plagiarism + DSP,23,319,1.190575,0.882305
1b. Human Plagiarism + DSP,24,471,1.188091,0.873573
1b. Human Plagiarism + DSP,25,409,1.183703,0.846707
1b. Human Plagiarism + DSP,26,255,1.166275,0.826034
1b. Human Plagiarism + DSP,27,239,1.166270,0.847716
1b. Human Plagiarism + DSP,28,147,1.165942,0.833011
1b. Human Plagiarism + DSP,29,8,1.158674,0.846934
1b. Human Plagiarism + DSP,30,343,1.154395,0.805188
2. Original + DSP,1,208,0.800174,0.751290
2. Original + DSP,2,214,0.774328,0.741712
2. Original + DSP,3,483,0.756850,0.709258
